項次編號,縣市代碼,分隊名稱,郵遞區號,地址,經度,緯度
1,63000,華山分隊,100,臺北市中正區北平東路1號,302552,2771114
2,63000,忠孝分隊,100,臺北市中正區忠孝東路二段8號,303184,2770719
3,63000,泉州分隊,100,臺北市中正區泉州街40號,301717,2768601
4,63000,古亭分隊,106,臺北市大安區基隆路4段156號,304261,2767180
5,63000,城中分隊,100,臺北市中正區忠孝西路1段86號,301807,2771075
6,63000,雙園分隊,108,臺北市萬華區西藏路213-1號,300004,2769060
7,63000,龍山分隊,108,臺北市萬華區桂林路137號,300387,2770144
8,63000,萬芳分隊,116,臺北市文山區萬美街一段52號,307177,2766126
9,63000,景美分隊,116,臺北市文山區景文街30號,304631,2765034
10,63000,木柵分隊,116,臺北市文山區木柵路二段200號,306876,2764656
11,63000,寶橋分隊,116,臺北市文山區璋新街2號,306021,2763666
12,63000,金華分隊,106,臺北市大安區愛國東路79巷13號,303258,2769481
13,63000,安和分隊,106,臺北市大安區安和路二段2號,305731,2769536
14,63000,復興分隊,106,臺北市大安區復興南路二段92號,304827,2769217
15,63000,南港分隊,115,臺北市南港區興中路6號,311271,2771970
16,63000,舊莊分隊,115,臺北市南港區研究院路2段86號,312085,2770911
17,63000,成德分隊,115,臺北市南港區東新街63巷11號,309199,2771200
18,63000,信義分隊,110,臺北市信義區忠孝東路5段32號,307391,2770418
19,63000,永吉分隊,110,臺北市信義區永吉路48號,307433,2770941
20,63000,莊敬分隊,110,臺北市信義區松智路40號,307040,2769197
21,63000,大直分隊,104,臺北市中山區樂群二路143號,306157,2774755
22,63000,松江分隊,104,臺北市中山區建國北路二段39號,303875,2771146
23,63000,建國分隊,104,臺北市中山區民族東路282號,304063,2773398
24,63000,搜救犬訓練基地,104,臺北市中山區濱江街351號,305426,2773920
25,63000,圓山分隊,104,臺北市中山區民族東路41號,303386,2773471
26,63000,八德分隊,105,臺北市松山區八德路四段162號,306804,2771272
27,63000,中崙分隊,105,臺北市松山區長安東路二段229號,305076,2771247
28,63000,東湖分隊,114,臺北市內湖區五分街8號,311835,2773391
29,63000,大湖分隊,114,臺北市內湖區成功路五段5號,310690,2775204
30,63000,內湖分隊,114,臺北市內湖區成功路二段378號,309559,2773607
31,63000,民權分隊,114,臺北市內湖區民權東路六段9號,308283,2773311
32,63000,建成分隊,103,臺北市大同區承德路二段35號,302289,2771942
33,63000,延平分隊,103,臺北市大同區鄭州路109號,301597,2771439
34,63000,大同分隊,103,臺北市大同區重慶北路二段223號,301831,2772685
35,63000,山仔后分隊,111,臺北市士林區仰德大道四段161號,305021,2780715
36,63000,天母分隊,111,臺北市士林區中山北路7段194號,303737,2779758
37,63000,福安分隊,111,臺北市士林區延平北路7段42-7號,300097,2776542
38,63000,社子分隊,111,臺北市士林區延平北路五段2-1號,301597,2774636
39,63000,劍潭分隊,111,臺北市士林區中山北路五段376號,303223,2775843
40,63000,雙溪分隊,111,臺北市士林區至善路二段41號,304937,2776701
41,63000,後港分隊,111,臺北市士林區福港街153號,302255,2775551
42,63000,陽明山分隊,112,臺北市北投區勝利街1-2號,305111,2782678
43,63000,光明分隊,112,臺北市北投區光明路155號,300664,2780842
44,63000,關渡分隊,112,臺北市北投區知行路345號,297059,2779489
45,63000,石牌分隊,112,臺北市北投區石牌路二段101號,302127,2778941
46,63000,秀山分隊,112,臺北市北投區秀山路50號,299695,2781960
